MICFAM_Id	NbOrganismsFAM	Organism	GO_id	Label	Type	Evidence	Gene	Product	ECnumber	Mutation	ProductType	Localization	Roles	BioProcess	PubmedID	AmigeneStatus	Class	CreationDate	Frame	Begin	End	Length
243397	1	Streptococcus thermophilus CIRM1051	69149550	STHERMO_v1_2135	fCDS	automatic/finished	trmF	fragment of tRNA uridine 5-carboxymethylaminomethyl modification enzyme (part 1)		pseudo	e : enzyme			16.2 : Construct biomass (Anabolism) ; 16.6 : Maintain ;	11914360, 14993678, 17062623, 26735940	no	2a : Function from experimental evidences in other organisms	2019-07-04 00:00:00	-3	1830601	1831308	708
243417	1	Streptococcus thermophilus CNCM I-1630	53684371	AGFN01_v1_1460002	fCDS	automatic/finished	ilvD	fragment of dihydroxy-acid dehydratase (part 4)	4.2.1.9	pseudo	e : enzyme			16.2 : Construct biomass (Anabolism) ;	12193635, 12618455, 15060025, 24163341	no	2a : Function from experimental evidences in other organisms	2017-11-24 00:00:00	-1	1305991	1306266	276
243771	1	Streptococcus thermophilus CNCM I-1630	53684675	AGFN01_v1_2310001	CDS	automatic/finished		ribosomal protein L19 (fragment)		no						no		2017-11-24 00:00:00	+3	1486368	1486544	177
2439	1	Streptococcus thermophilus CAG:236	53690757	CBBT_v1_810001	fCDS	automatic/finished	prfC	fragment of peptide chain release factor RF-3 (part 1)		pseudo	f : factor	2 : Cytoplasmic	2.3.2 : Translation ; 7.1 : Cytoplasm ;	10.4 : Translation factors ;	7737996, 8016068, 8016077, 8575429	no	2a : Function from experimental evidences in other organisms	2017-11-24 00:00:00	-2	1491282	1491593	312
246616	1	Streptococcus thermophilus CIRM1860	68804707	STH1860_v1_p0010	CDS	automatic/finished		Restriction endonuclease		no						no		2019-06-11 00:00:00	-1	6866	9982	3117
2526103	1	Streptococcus thermophilus KLDS 3.1003	53716864	BEN15_01020	CDS	automatic/finished		hypothetical protein		no						COMMON		2017-11-24 00:00:00	-2	206705	207427	723
2528143	1	Streptococcus thermophilus S1N	59652084	STHERMOS1N_v1_21031	CDS	automatic/finished		transposase (fragment)		no						no		2018-07-06 00:00:00	+1	1701397	1701642	246
25303	1	Streptococcus thermophilus CNCM I-1630	53684871	AGFN01_v1_3200001	CDS	automatic/finished		RpoD (fragment)		no						no		2017-11-24 00:00:00	+1	1602808	1602924	117
2556966	1	Streptococcus thermophilus TH1477	53740366	Y022_00795	CDS	automatic/finished		Rep protein		no						COMMON		2017-11-27 00:00:00	-1	127492	128058	567
2557864	1	Streptococcus thermophilus CIRM368	69617108	STHERMO_v1_0850	CDS	automatic/finished		Bacteriochlorophyll 4-vinyl reductase		no						no		2019-07-31 00:00:00	+3	736713	737615	903
2561946	1	Streptococcus thermophilus CIRM1860	68804703	STH1860_v1_p0006	CDS	automatic/finished		conserved protein of unknown function		no	u : unknown	1 : Unknown				no	4 : Unknown function but conserved in other organisms	2019-06-11 00:00:00	-2	4963	5325	363
2717348	1	Streptococcus thermophilus JIM1081	69596293	STHJ1081_v1_p0001	CDS	automatic/finished	copG	Protein CopG		no						no		2019-07-31 00:00:00	-1	495	650	156
2725814	1	Streptococcus thermophilus JIM1081	69596295	STHJ1081_v1_p0003	CDS	automatic/finished		Antitoxin epsilon		no						no		2019-07-31 00:00:00	+3	1410	1664	255
2744694	1	Streptococcus thermophilus B59671	53745649	CG712_06360	fCDS	automatic/finished		adenylosuccinate lyase		pseudo						COMMON		2017-11-27 00:00:00	+1	1199824	1199964	141
2744719	1	Streptococcus thermophilus S2N_ST20	59653595	STHERMOS2N_v1_1170	fCDS	automatic/finished	deoD	fragment of purine nucleoside phosphorylase (part 1)	2.4.2.1	pseudo	e : enzyme			16.11 : Scavenge (Catabolism) ;	12571059, 16511068, 21279421, 21424839	no	2a : Function from experimental evidences in other organisms	2018-07-06 00:00:00	-1	999455	999631	177
2744722	1	Streptococcus thermophilus CNCM I-1630	53684631	AGFN01_v1_2160001	CDS	automatic/finished		phosphotransacetylase (fragment)	2.3.1.8	no						no		2017-11-24 00:00:00	+2	1462598	1462867	270
2768	1	Streptococcus thermophilus KLDS 3.1003	53725039	BEN15_07400	CDS	automatic/finished		hypothetical protein		no						COMMON		2017-11-24 00:00:00	+1	1401685	1402299	615
2914974	1	Streptococcus thermophilus CIRM1050	68603604	STHERMO_v1_1353	CDS	automatic/finished		protein of unknown function		no	u : unknown	1 : Unknown				no	5 : Unknown function	2019-06-06 00:00:00	-3	1191740	1191835	96
2916073	1	Streptococcus thermophilus CIRM1050	68602833	STHERMO_v1_0582	CDS	automatic/finished		Type III restriction enzyme, res subunit		no						no		2019-06-06 00:00:00	+1	514882	517959	3078
2916259	1	Streptococcus thermophilus C106	73467091	LGRS01_600001	CDS	automatic/finished		protein of unknown function		no	u : unknown	1 : Unknown				no	5 : Unknown function	2020-03-02 00:00:00	-2	1231765	1231881	117
2917030	1	Streptococcus thermophilus CNCM I-1630	53684741	AGFN01_v1_2540002	CDS	automatic/finished		Biotin carboxylase	6.3.4.14, 6.4.1.2	no						no		2017-11-24 00:00:00	+1	1523236	1523646	411
3033864	1	Streptococcus thermophilus CNCM I-1630	53684049	AGFN01_v1_1020005	CDS	automatic/finished		DNA integration/recombination/inversion protein		no						no		2017-11-24 00:00:00	-3	1108160	1108624	465
3033909	1	Streptococcus thermophilus CNCM I-1630	53683501	AGFN01_v1_480003	fCDS	automatic/finished	tsaD	fragment of tRNA(NNU) t(6)A37 threonylcarbamoyladenosine modification; glycation binding protein (part 1)		pseudo	e : enzyme			16.2 : Construct biomass (Anabolism) ; 16.6 : Maintain ;	11073929, 12682299, 9743119, 20824107, 21625506, 21873492, 19376873, 19578062, 20701780, 20824107, 21183954, 21285948, 22378793	no	2a : Function from experimental evidences in other organisms	2017-11-24 00:00:00	-3	718376	718672	297
3034434	1	Streptococcus thermophilus TH982	53736203	Y018_04460	CDS	automatic/finished		hypothetical protein		no						COMMON		2017-11-27 00:00:00	+1	784510	784857	348
3034534	1	Streptococcus thermophilus TH982	53736191	Y018_04400	CDS	automatic/finished		UDP-phosphate galactose phosphotransferase		no						COMMON		2017-11-27 00:00:00	+2	772337	772939	603
3035139	1	Streptococcus thermophilus M17PTZA496	53731410	X841_04270	CDS	automatic/finished		hypothetical protein		no						COMMON		2017-11-27 00:00:00	-2	739676	739819	144
3035140	1	Streptococcus thermophilus B59671	53746312	CG712_09410	fCDS	automatic/finished		replication initiator protein		pseudo						COMMON		2017-11-27 00:00:00	+2	1763312	1763551	240
3035154	1	Streptococcus thermophilus CIRM998	69605503	STHERMO_v1_0775	CDS	automatic/finished		conserved protein of unknown function		no	u : unknown	1 : Unknown				no	4 : Unknown function but conserved in other organisms	2019-07-31 00:00:00	-2	712033	712233	201
3035164	1	Streptococcus thermophilus TH1435	53695131	U730_04940	fCDS	automatic/finished				pseudo						COMMON		2017-11-24 00:00:00	-1	922068	922706	639
3035482	1	Streptococcus thermophilus CIRM67	75908680	STHERMO_v2_0648	CDS	automatic/finished		protein of unknown function		no	u : unknown	1 : Unknown				no	5 : Unknown function	2020-06-08 00:00:00	-1	563640	563756	117
3036037	1	Streptococcus thermophilus S1N	59652344	STHERMOS1N_v1_21291	fCDS	automatic/finished	dnaK	fragment of molecular chaperone, ATP-dependent (part 1)		pseudo	f : factor			16.6 : Maintain ; 16.8 : Protect ;	10074100, 12224648, 12799007, 17407764, 22938038, 25355936, 27148221	no	2a : Function from experimental evidences in other organisms	2018-07-06 00:00:00	+2	1918751	1919026	276
3074972	1	Streptococcus thermophilus TH1477	53740364	Y022_00790	CDS	automatic/finished		DNA-binding protein		no						COMMON		2017-11-27 00:00:00	-1	127282	127476	195
3074973	1	Streptococcus thermophilus TH1477	53740362	Y022_00785	CDS	automatic/finished		integrase		no						COMMON		2017-11-27 00:00:00	-3	126221	127267	1047
3074974	1	Streptococcus thermophilus CIRM16	68584961	STHERMO_v1_0123	CDS	automatic/finished		conserved protein of unknown function		no	u : unknown	1 : Unknown				no	4 : Unknown function but conserved in other organisms	2019-06-06 00:00:00	-3	115881	116093	213
3075002	1	Streptococcus thermophilus ST109	66589191	DV947_08545	fCDS	automatic/finished		DNA repair protein RadA		pseudo						COMMON		2019-03-26 00:00:00	-1	1623414	1624040	627
3127	1	Streptococcus thermophilus M17PTZA496	53732672	X841_10955	CDS	automatic/finished		RNAase		no						WRONG		2017-11-27 00:00:00	-3	1893163	1893450	288
3146797	1	Streptococcus thermophilus TH1435	53695235	U730_07420	fCDS	automatic/finished				pseudo						COMMON		2017-11-24 00:00:00	+1	1330210	1330548	339
3160687	1	Streptococcus thermophilus CNCM I-1630	53684337	AGFN01_v1_1400004	fCDS	automatic/finished	clpX	fragment of protein unfolding ATPase required for presentation of proteins to proteases; Maxwell's demon (part 1)		pseudo	e : enzyme			16.6 : Maintain ;	11395451, 11807061, 12354604, 12761164, 14679237, 15948963, 16899079, 17827297, 17981983, 18662407, 19136590, 25433860, 27014237	no	2a : Function from experimental evidences in other organisms	2017-11-24 00:00:00	-3	1283495	1284151	657
3160725	1	Streptococcus thermophilus 1F8CT	53738469	Y021_04360	CDS	automatic/finished		hypothetical protein		no						COMMON		2017-11-27 00:00:00	+2	772772	772933	162
